"MFW","distance","culling","centroid"
20,"dist.entropy",100,FALSE
30,"dist.entropy",100,FALSE
40,"dist.entropy",100,FALSE
50,"dist.entropy",100,FALSE
60,"dist.entropy",100,FALSE
70,"dist.entropy",100,FALSE
80,"dist.entropy",100,FALSE
90,"dist.entropy",100,FALSE
100,"dist.entropy",100,FALSE
110,"dist.entropy",100,FALSE
120,"dist.entropy",100,FALSE
130,"dist.entropy",100,FALSE
140,"dist.entropy",100,FALSE
150,"dist.entropy",100,FALSE
160,"dist.entropy",100,FALSE
170,"dist.entropy",100,FALSE
180,"dist.entropy",100,FALSE
190,"dist.entropy",100,FALSE
200,"dist.entropy",100,FALSE
210,"dist.entropy",100,FALSE
220,"dist.entropy",100,FALSE
230,"dist.entropy",100,FALSE
240,"dist.entropy",100,FALSE
250,"dist.entropy",100,FALSE
260,"dist.entropy",100,FALSE
270,"dist.entropy",100,FALSE
280,"dist.entropy",100,FALSE
290,"dist.entropy",100,FALSE
300,"dist.entropy",100,FALSE
10,"dist.minmax",100,FALSE
20,"dist.minmax",100,FALSE
30,"dist.minmax",100,FALSE
40,"dist.minmax",100,FALSE
50,"dist.minmax",100,FALSE
60,"dist.minmax",100,FALSE
70,"dist.minmax",100,FALSE
80,"dist.minmax",100,FALSE
90,"dist.minmax",100,FALSE
100,"dist.minmax",100,FALSE
110,"dist.minmax",100,FALSE
120,"dist.minmax",100,FALSE
130,"dist.minmax",100,FALSE
140,"dist.minmax",100,FALSE
150,"dist.minmax",100,FALSE
160,"dist.minmax",100,FALSE
170,"dist.minmax",100,FALSE
180,"dist.minmax",100,FALSE
190,"dist.minmax",100,FALSE
200,"dist.minmax",100,FALSE
210,"dist.minmax",100,FALSE
220,"dist.minmax",100,FALSE
230,"dist.minmax",100,FALSE
240,"dist.minmax",100,FALSE
250,"dist.minmax",100,FALSE
260,"dist.minmax",100,FALSE
270,"dist.minmax",100,FALSE
280,"dist.minmax",100,FALSE
290,"dist.minmax",100,FALSE
300,"dist.minmax",100,FALSE
10,"dist.simple",100,FALSE
20,"dist.simple",100,FALSE
30,"dist.simple",100,FALSE
40,"dist.simple",100,FALSE
50,"dist.simple",100,FALSE
60,"dist.simple",100,FALSE
70,"dist.simple",100,FALSE
80,"dist.simple",100,FALSE
90,"dist.simple",100,FALSE
100,"dist.simple",100,FALSE
110,"dist.simple",100,FALSE
120,"dist.simple",100,FALSE
130,"dist.simple",100,FALSE
140,"dist.simple",100,FALSE
150,"dist.simple",100,FALSE
160,"dist.simple",100,FALSE
170,"dist.simple",100,FALSE
180,"dist.simple",100,FALSE
190,"dist.simple",100,FALSE
200,"dist.simple",100,FALSE
210,"dist.simple",100,FALSE
220,"dist.simple",100,FALSE
230,"dist.simple",100,FALSE
240,"dist.simple",100,FALSE
250,"dist.simple",100,FALSE
260,"dist.simple",100,FALSE
270,"dist.simple",100,FALSE
280,"dist.simple",100,FALSE
290,"dist.simple",100,FALSE
300,"dist.simple",100,FALSE
